"item_sugerido","veces","variantes"
"MANO DE OBRA CORONA","5","MANO DE OBRA CORONA (5)"
"REPUESTOS","5","REPUESTOS (5)"
"BUJES DE TIJERA","5","BUJES DE TIJERA (5)"
"ARREGLO DE TAPAS","5","ARREGLO DE TAPAS (5)"
"1 BUJIA","5","1 BUJIA (5)"
"MANO DE OBRA CUNAS","5","MANO DE OBRA CUNAS (5)"
"TAPA RADIADOR","5","TAPA RADIADOR (5)"
"DEPURACION","5","DEPURACION (5)"
"ENRADIADO Y DESENRADIADO","5","ENRADIADO Y DESENRADIADO (5)"
"ARREGLO CALEFACTORES","5","ARREGLO CALEFACTORES (5)"
"INSTALACION DE CUNAS","5","INSTALACION DE CUNAS (5)"
"BOMBILLO LED","5","BOMBILLO LED (5)"
"ARREGLO 1 BOBINA","4","ARREGLO 1 BOBINA (4)"
"STAY FRONTAL","4","STAY FRONTAL (4)"
"CAMBIO DISCOS DE CLUTCH","4","CAMBIO DISCOS DE CLUTCH (4)"
"CENTRADA DE RINES","4","CENTRADA DE RINES (4)"
"FAROLA","4","FAROLA (4)"
"CAMBIO DE CADENILLA","4","CAMBIO DE CADENILLA (4)"
"TAPA","4","TAPA (4)"
"MANTENIMIENTO CUERPO DE ACELERACION","4","MTO CUERPO DE ACELERACION (3) | MANTENIMIENTO CUERPO DE ACELERACION (1)"
"ARREGLO CARENAJE","4","ARREGLO CARENAJE (4)"
"CALIBRACION DE VALVULAS","4","CALIBRACION DE VALVULAS (4)"
"MANO DE OBRA CADENILLA","4","MANO DE OBRA CADENILLA (4)"
"CAMBIO DE ACEITE 7100","4","CAMBIO DE ACEITE 7100 (4)"
"BUJE DE CLUTCH","4","BUJE DE CLUTCH (4)"
"REGULADOR","4","REGULADOR (4)"
"PINTURA TAPAS","4","PINTURA TAPAS (4)"
"PERITAJE","4","PERITAJE (4)"
"MANTENIMIENTO DE FRENOS","4","MTO DE FRENOS (2) | MANTENIMIENTO DE FRENOS (2)"
"MANTENIMIENTO FILTRO KYN","4","MANTENIMIENTO FILTRO KYN (3) | MTO FILTRO KYN (1)"
"2 BUJIAS","4","2 BUJIAS (4)"
"ARREGLO SKID PLATE","4","ARREGLO SKID PLATE (4)"
"DESLIZADORES","4","DESLIZADORES (4)"
"MANILARES","4","MANILARES (4)"
"CAMBIO DE REFRIGERANTE","4","CAMBIO DE REFRIGERANTE (4)"
"MANO DE OBRA RIN","4","MANO DE OBRA RIN (4)"
"ARREGLO LUCES","4","ARREGLO LUCES (4)"
"CUPULA","4","CUPULA (4)"
"ARREGLO EXOSTO","4","ARREGLO EXOSTO (4)"
"CAMBIO VALVULINA","4","CAMBIO VALVULINA (4)"
"ARREGLO FUGA","4","ARREGLO FUGA (4)"
"CAMBIO REFRIGERANTE","4","CAMBIO REFRIGERANTE (4)"
"RETENES BOMBA DE AGUA","4","RETENES BOMBA DE AGUA (4)"
"PINTURA DE TAPAS","4","PINTURA DE TAPAS (4)"
"ARREGLO MANGUERA","4","ARREGLO MANGUERA (4)"
"TORNILLO","4","TORNILLO (4)"
"MANTENIMIENTO BARRA IZQ","4","MTO BARRA IZQ (2) | MANTENIMIENTO BARRA IZQ (2)"
"SKID PLATE","4","SKID PLATE (4)"
"POLICHADO DE TANQUE","4","POLICHADO DE TANQUE (4)"
"MANTENIMIENTO CARDAN","4","MTO CARDAN (4)"
"CAMBIO DE ACITE","4","CAMBIO DE ACITE (4)"
"ARREGLO SILLA","4","ARREGLO SILLA (4)"
"TAPON DE ACEITE","4","TAPON DE ACEITE (4)"
"ELECTROSTATICA","4","ELECTROSTATICA (4)"
"MANO DE OBRA RODAMIENTOS","4","MANO DE OBRA RODAMIENTOS (4)"
"DESCUENTO","4","DESCUENTO (4)"
"AJUSTE GENERAL","4","AJUSTE GENERAL (4)"
"2 RADIOS TRASEROS","4","2 RADIOS TRASEROS (4)"
"ARREGLO FAROLA","4","ARREGLO FAROLA (4)"
"MANO DE OBRA DISCOS","4","MANO DE OBRA DISCOS (4)"
"PINTURA DE PESAS","4","PINTURA DE PESAS (4)"
"CAMBIO DE CORONA","4","CAMBIO DE CORONA (4)"
"TAPIZADO SILLAS","4","TAPIZADO SILLAS (4)"
"PROTECTORES DE BARRAS","4","PROTECTORES DE BARRAS (4)"
"RODAMIENTOS DE CIGUENAL","4","RODAMIENTOS DE CIGÜEÑAL (4)"
"INSTALACION DE LLANTAS","4","INSTALACION DE LLANTAS (2) | INSTALACION DE LLANTAS} (1) | INSTALACIÓN DE LLANTAS (1)"
"TAPIZADO DE SILLAS","4","TAPIZADO DE SILLAS (4)"
"ESCOBILLAS","4","ESCOBILLAS (4)"
"ABONO","4","ABONO (4)"
"MANTENIMIENTO BOBINAS","4","MTO BOBINAS (3) | MANTENIMIENTO BOBINAS (1)"
"RADIADOR","4","RADIADOR (4)"
"RODAMIENTOS","4","RODAMIENTOS (4)"
"VENDIX","4","VENDIX (4)"
"HAND SABER","4","HAND SABER (4)"
"POSAPIE","4","POSAPIE (4)"
"SOLDADURA","4","SOLDADURA (4)"
"LUBRICAR CADENA","4","LUBRICAR CADENA (4)"
"SELLO DE AGUA","4","SELLO DE AGUA (4)"
"MANTENIMIENTO BOMBA DE GASOLINA","4","MTO BOMBA DE GASOLINA (2) | MANTENIMIENTO BOMBA DE GASOLINA (2)"
"BOMBILLOS","4","BOMBILLOS (4)"
"EMPAQUE TAPA CLUTCH","4","EMPAQUE TAPA CLUTCH (4)"
"PINES PLASTICOS","4","PINES PLASTICOS (4)"
"EMPAQUE CULATA","4","EMPAQUE CULATA (4)"
"FILTRO DE ACEIT","4","FILTRO DE ACEIT (4)"
"ARREGLO ESPEJO","4","ARREGLO ESPEJO (4)"
"REVISAR CLUTCH","4","REVISAR CLUTCH (4)"
"TAPA ZE","3","TAPA ZE (3)"
"MANO DE OBRA REPARACION","3","MANO DE OBRA REPARACION (3)"
"MANIGUETA DE CLUTCH","3","MANIGUETA DE CLUTCH (3)"
"RODAMIENTOS EJE DE LEVAS","3","RODAMIENTOS EJE DE LEVAS (3)"
"MANIGUETA","3","MANIGUETA (3)"
"ENDEREZAR PEDAL DE FRENO","3","ENDEREZAR PEDAL DE FRENO (3)"
"ARREGLO 3 BOBINAS","3","ARREGLO 3 BOBINAS (3)"
"VARILLAS","3","VARILLAS (3)"
"REVISAR ENCENDIDO","3","REVISAR ENCENDIDO (3)"
"INSTALACION PUERTO USB","3","INSTALACION PUERTO USB (2) | INSTALACIÓN PUERTO USB (1)"
"IMPERMEABILIZACION DE BOBINAS","3","IMPERMEABILIZACION DE BOBINAS (3)"
"ESPEJO IZQUIERDO","3","ESPEJO IZQUIERDO (3)"
"ARREGLO SISTEMA ELECTRICO","3","ARREGLO SISTEMA ELECTRICO (3)"
"REVISAR PITO","3","REVISAR PITO (3)"
"CORREGIR FUGA","3","CORREGIR FUGA (3)"
"NIVELAR REFRIGERANTE","3","NIVELAR REFRIGERANTE (3)"
"CAMBIO DE ACEITE 10W50","3","CAMBIO DE ACEITE 10W50 (3)"
"PINTURA TAPAS MOTOR","3","PINTURA TAPAS MOTOR (3)"
"PESAS","3","PESAS (3)"
"ARREGLO DE AMORTIGUADOR","3","ARREGLO DE AMORTIGUADOR (3)"
"FILTROD E ACEITE","3","FILTROD E ACEITE (3)"
"SENSOR ABS","3","SENSOR ABS (3)"
"RADIOS","3","RADIOS (3)"
"DIRECCIONAL","3","DIRECCIONAL (3)"
"TORNILLO EXOSTO","3","TORNILLO EXOSTO (3)"
"CAMBIO DE ACEIT","3","CAMBIO DE ACEIT (3)"
"PILA CONTROL","3","PILA CONTROL (3)"
"ARREGLO RINES","3","ARREGLO RINES (3)"
"BANDAS TRASERAS","3","BANDAS TRASERAS (3)"
"RECTIFICACION DE RINES","3","RECTIFICACION DE RINES (3)"
"MANTENIMIENTO GUAYA DE CLUTCH","3","MANTENIMIENTO GUAYA DE CLUTCH (2) | MTO GUAYA DE CLUTCH (1)"
"LUBRICACION DE CLUTCH","3","LUBRICACION DE CLUTCH (3)"
"PINTURA TAPAS LATERALES","3","PINTURA TAPAS LATERALES (3)"
"LIMPIEZA DE EXOSTOS","3","LIMPIEZA DE EXOSTOS (3)"
"PINTURA GUARDABARRO DELANTERO","3","PINTURA GUARDABARRO DELANTERO (3)"
"ARREGLO PARRILLA","3","ARREGLO PARRILLA (3)"
"CALCAS DE TANQUE","3","CALCAS DE TANQUE (3)"
"PINTURA Y RETOQUES","3","PINTURA Y RETOQUES (3)"
"ARREGLO DEFENSAS","3","ARREGLO DEFENSAS (3)"
"EMBOBINADO DE CORONA","3","EMBOBINADO DE CORONA (3)"
"INSTALACION STAY","3","INSTALACION STAY (3)"
"ACEITE MOTUL 7100","3","ACEITE MOTUL 7100 (3)"
"EJE DE CAMBIOS","3","EJE DE CAMBIOS (3)"
"INSTALACION SENSOR","3","INSTALACION SENSOR (3)"
"PINON DELANTERO","3","PIÑON DELANTERO (3)"
"CINCADO DE PARTES","3","CINCADO DE PARTES (3)"
"BOMBILLO H4","3","BOMBILLO H4 (3)"
"GUARDABARRO DELANTERO","3","GUARDABARRO DELANTERO (3)"
"RADIO","3","RADIO (3)"
"DISCOS Y SEPARADORES DE CLUTCH","3","DISCOS Y SEPARADORES DE CLUTCH (3)"
"TAPA LATERAL","3","TAPA LATERAL (3)"
"PINTURA DE TAPA","3","PINTURA DE TAPA (3)"
"MANTENIMIENTO","3","MANTENIMIENTO (3)"
"FUGA DE ACEITE","3","FUGA DE ACEITE (3)"
"ARREGLO DE BARRAS","3","ARREGLO DE BARRAS (3)"
"MANDO","3","MANDO (3)"
"INTERRUPTORES","3","INTERRUPTORES (3)"
"RETENEDORES","3","RETENEDORES (3)"
"PRENSA","3","PRENSA (3)"
"DESLIZADORES DE CADENILLA","3","DESLIZADORES DE CADENILLA (3)"
"ARREGLO CABLEADO","3","ARREGLO CABLEADO (3)"
"CAMBIO DE ACEITE MOTUL 7100","3","CAMBIO DE ACEITE MOTUL 7100 (3)"
"ARREGLO VENTILADOR","3","ARREGLO VENTILADOR (3)"
"FILTRO DEA CEITE","3","FILTRO DEA CEITE (3)"
"LUBRICACION DE GUAYAS","3","LUBRICACION DE GUAYAS (3)"
"MANTENIMIENTO MORDAZAS","3","MTO MORDAZAS (2) | MANTENIMIENTO MORDAZAS (1)"
"MANO DEOBRA","3","MANO DEOBRA (3)"
"PASTILLAS TRASERAS Y DELANTERAS","3","PASTILLAS TRASERAS Y DELANTERAS (3)"
"GUAYAS","3","GUAYAS (3)"
"3 RADIOS","3","3 RADIOS (3)"
"CINCADO","3","CINCADO (3)"
"ORING","3","ORING (3)"
"ACEITE HODRAULICO","3","ACEITE HODRAULICO (3)"
"PASTILLAS DELANTERAS Y TRASERAS","3","PASTILLAS DELANTERAS Y TRASERAS (3)"
"ARREGLO MALETERO","3","ARREGLO MALETERO (3)"
"ARREGLO BOBINAS","3","ARREGLO BOBINAS (3)"
"ABS","3","ABS (3)"
"FILTRO DE ACITE","3","FILTRO DE ACITE (3)"
"PINTURA DEFENSAS","3","PINTURA DEFENSAS (3)"
"ARREGLO TAPA EXOSTO","3","ARREGLO TAPA EXOSTO (3)"
"ARREGLO MANIGUETA","3","ARREGLO MANIGUETA (3)"
"PULIDA DE CUPULA","3","PULIDA DE CUPULA (2) | PULIDA  DE CUPULA (1)"
"MANTENIMIENTO DE TIJERA","3","MANTENIMIENTO DE TIJERA (2) | MTO DE TIJERA (1)"
"BRILLO DE EXOSTOS","3","BRILLO DE EXOSTOS (3)"
"ARREGLO 2 BOBINAS","3","ARREGLO 2 BOBINAS (3)"
"3 BOBINAS","3","3 BOBINAS (3)"
"CAMBIO DE ACEIRE","3","CAMBIO DE ACEIRE (3)"
"CENTRADA DE RIN","3","CENTRADA DE RIN (3)"
"GUARDAPOLVOS","3","GUARDAPOLVOS (3)"
"EMBLEMAS","3","EMBLEMAS (3)"
"PINTURA TANQUE","3","PINTURA TANQUE (3)"
"ACEITE LLEVAR","3","ACEITE LLEVAR (3)"
"INSTALACION KIT DE ARRASTRE","3","INSTALACION KIT DE ARRASTRE (3)"
"CARDAN","3","CARDAN (3)"
"1 4 ACEITE","3","1/4 ACEITE (3)"
"TORNILLO MORDAZA","3","TORNILLO MORDAZA (3)"
"TORNILLO CARDAN","3","TORNILLO CARDAN (3)"
"CAMBIO GUAYA DE CLUTCH","3","CAMBIO GUAYA DE CLUTCH (3)"
"CAMBIO DE AEITE","3","CAMBIO DE AEITE (3)"
"RECTIFICACION RIN TRASERO","3","RECTIFICACION RIN TRASERO (3)"
"TORNILLO MEDIA VUELTA","2","TORNILLO MEDIA VUELTA (2)"
"CAMABAJA","2","CAMABAJA (2)"
"MANIGUETA DE FRENO","2","MANIGUETA DE FRENO (2)"
